No.,Symbol,Company Name,Stock Price,% Change,Volume,Market Cap
289,NG,NovaGold Resources Inc.,3.42,-4.34%,"1,253,490",1.14B
290,TPIC,"TPI Composites, Inc.",1.23,-8.89%,"1,243,747",58.50M
291,LAAC,Lithium Americas (Argentina) Corp.,3.08,-2.22%,"1,242,404",500.43M
292,SLDP,"Solid Power, Inc.",1.09,-2.68%,"1,225,548",196.62M
293,INUV,"Inuvo, Inc.",0.35,3.01%,"1,217,761",48.53M
294,NNDM,Nano Dimension Ltd.,2.27,-5.02%,"1,216,387",497.67M
295,AMBP,Ardagh Metal Packaging S.A.,3.21,-0.31%,"1,214,743",1.92B
296,CKPT,"Checkpoint Therapeutics, Inc.",3.67,-3.42%,"1,213,640",179.22M
297,TMC,TMC the metals company Inc.,0.80,0.55%,"1,200,712",273.41M
298,SCLX,Scilex Holding Company,0.51,-1.42%,"1,191,631",66.85M
299,ATOS,"Atossa Therapeutics, Inc.",1.12,-2.61%,"1,188,881",140.90M
300,GCTK,"GlucoTrack, Inc.",0.26,-7.49%,"1,188,275",2.80M
301,LTBR,Lightbridge Corporation,4.76,-8.64%,"1,177,691",75.05M
302,GPRO,"GoPro, Inc.",1.20,-1.64%,"1,175,985",185.71M
303,NCL,Northann Corp.,0.30,0.57%,"1,174,809",10.37M
304,PRME,"Prime Medicine, Inc.",2.88,-4.32%,"1,164,703",367.48M
305,AISP,"Airship AI Holdings, Inc.",3.17,7.46%,"1,162,066",86.49M
306,ACON,"Aclarion, Inc.",0.11,-7.89%,"1,140,664",1.10M
307,LWLG,"Lightwave Logic, Inc.",1.99,11.80%,"1,135,548",243.52M
308,ZVIA,Zevia PBC,3.20,-5.33%,"1,134,088",233.65M
309,FOXO,FOXO Technologies Inc.,0.45,-1.53%,"1,124,162",7.86M
310,EVLV,"Evolv Technologies Holdings, Inc.",3.75,-2.60%,"1,120,392",590.81M
311,MTC,"MMTec, Inc.",0.23,-5.89%,"1,114,918",45.19M
312,ASRT,"Assertio Holdings, Inc.",0.92,-3.32%,"1,107,932",87.84M
313,FGEN,"FibroGen, Inc.",0.33,-2.69%,"1,098,434",33.55M
314,LYRA,"Lyra Therapeutics, Inc.",0.18,-9.60%,"1,098,034",11.95M
315,HOVR,New Horizon Aircraft Ltd.,0.72,14.80%,"1,097,890",17.57M
316,BLDE,"Blade Air Mobility, Inc.",4.04,-3.12%,"1,080,602",316.39M
317,SHOT,"Safety Shot, Inc.",0.83,-0.24%,"1,072,048",50.44M
318,VTYX,"Ventyx Biosciences, Inc.",2.28,-6.56%,"1,071,414",161.22M
319,TALK,"Talkspace, Inc.",3.26,-2.10%,"1,069,490",550.69M
320,EU,enCore Energy Corp.,3.22,-4.17%,"1,065,319",591.96M
321,PGHL,Primega Group Holdings Limited,1.33,-4.32%,"1,058,668",31.92M
322,EB,"Eventbrite, Inc.",3.55,-2.20%,"1,052,229",343.93M
323,PHUN,"Phunware, Inc.",4.27,-4.16%,"1,049,983",84.82M
324,TOON,Kartoon Studios Inc.,0.60,17.87%,"1,047,790",23.78M
325,VXRT,"Vaxart, Inc.",0.59,-0.75%,"1,043,906",134.67M
326,BARK,"BARK, Inc.",2.20,-0.45%,"1,035,688",382.70M
327,PGRE,"Paramount Group, Inc.",4.90,0.41%,"1,025,612",1.16B
328,NEGG,"Newegg Commerce, Inc.",0.52,-5.73%,"1,010,158",201.14M
329,AZUL,Azul S.A.,2.04,-2.39%,"1,007,465",239.08M
330,RERE,ATRenew Inc.,2.96,-0.34%,"1,007,076",649.67M
331,CARA,"Cara Therapeutics, Inc.",0.26,0.15%,"1,006,176",14.37M
332,INDO,Indonesia Energy Corporation Limited,2.95,5.36%,"994,005",30.53M
